Model;LookBackWindowSize;SeasonalPeriod;MAE;RMSE;F1-Score;Normalization
ARIMA(0,0,0)(0,0,0,sp);20;0;0.013157254662051268;0.016845161191883156;0.31310691473685465;false
ARIMA(0,0,0)(0,0,0,sp);5;0;0.0141647324718429;0.01774429693612806;0.3145828523446443;false
ARIMA(0,0,0)(0,0,0,sp);10;0;0.014241611860227951;0.018133971079508503;0.3168153151407568;false
ARIMA(0,0,0)(0,0,0,sp);10;5;0.013650981779874054;0.017391835749896015;0.32719022382744845;false
ARIMA(0,0,0)(0,0,0,sp);5;5;0.014134505765866804;0.017798592453669753;0.3295639573603515;false
ARIMA(0,0,0)(0,0,0,sp);20;5;0.01275854252739998;0.01640905407934335;0.33215979673819773;false
ARIMA(0,0,0)(0,0,0,sp);65;5;0.012967239606516977;0.01664904920333149;0.3428421199391879;false
ARIMA(0,0,0)(0,0,0,sp);65;0;0.013240034903269015;0.016957616427444318;0.35044554173037146;false
ARIMA(0,0,0)(0,0,0,sp);780;0;0.012738367260643004;0.016584041524760153;0.3694040312871127;false
ARIMA(0,0,0)(0,0,0,sp);260;5;0.01243456269225447;0.01598833111546151;0.36948016228293046;false
ARIMA(0,0,0)(0,0,0,sp);1300;5;0.013325388134034192;0.017147131060952978;0.3714916158933642;false
ARIMA(0,0,0)(0,0,0,sp);260;0;0.012727491153629545;0.016515440329770502;0.3725384199159467;false
ARIMA(0,0,0)(0,0,0,sp);520;5;0.012746677135780766;0.016629934433924513;0.3782170377225923;false
ARIMA(0,0,0)(0,0,0,sp);780;5;0.013310408478525914;0.01714999642313382;0.3816791844509929;false
ARIMA(0,0,0)(0,0,0,sp);520;0;0.013188668192290894;0.017144665805366104;0.39431388933210093;false
ARIMA(0,0,0)(0,0,0,sp);1300;0;0.013222179003614188;0.017014174853724435;0.42076253680150966;false
ARIMA(0,0,0)(0,0,0,sp);5;0;0.014610277061012394;0.01840738952563152;0.3101537860953268;true
ARIMA(0,0,0)(0,0,0,sp);20;0;0.013811171036565529;0.017604691965621214;0.3236756026102229;true
ARIMA(0,0,0)(0,0,0,sp);10;0;0.01363874048694337;0.017308190868804852;0.32635386053069537;true
ARIMA(0,0,0)(0,0,0,sp);5;5;0.01372911096381071;0.01732474829100504;0.3289234291073665;true
ARIMA(0,0,0)(0,0,0,sp);10;5;0.013466154798421354;0.017083261368720726;0.3378687072048937;true
ARIMA(0,0,0)(0,0,0,sp);65;0;0.013001261012644743;0.01680202080278672;0.3485335388422258;true
ARIMA(0,0,0)(0,0,0,sp);20;5;0.013579260180651696;0.017380399986638206;0.34977956542334615;true
ARIMA(0,0,0)(0,0,0,sp);260;5;0.013091139737627057;0.016937329502448795;0.35266802462395247;true
ARIMA(0,0,0)(0,0,0,sp);65;5;0.01260660265946285;0.016217126605772143;0.36214035443501846;true
ARIMA(0,0,0)(0,0,0,sp);260;0;0.012951954386739703;0.01682879336095321;0.3662713326253665;true
ARIMA(0,0,0)(0,0,0,sp);520;0;0.012676831251241324;0.016374827731538706;0.3847442773540024;true
ARIMA(0,0,0)(0,0,0,sp);1300;0;0.013494069379077461;0.017444386277971388;0.38876932139270515;true
ARIMA(0,0,0)(0,0,0,sp);780;5;0.013416745389120738;0.01726016384890604;0.38895964483926604;true
ARIMA(0,0,0)(0,0,0,sp);780;0;0.013068034155528749;0.016709788905453285;0.3905889305861988;true
ARIMA(0,0,0)(0,0,0,sp);1300;5;0.013415756568329584;0.017361402113897546;0.39270699746842525;true
ARIMA(0,0,0)(0,0,0,sp);520;5;0.012961113231606172;0.016899560045104515;0.3961620651349298;true