Model;LookBackWindowSize;RMSE;PredictiveScore;Lags
LGBMRegressor;520;0.022754602601032254;0.48495501030736304;[1]
LGBMRegressor;260;0.017255947913706205;0.4965400703234343;[1]
LGBMRegressor;780;0.01837311365354794;0.48315556243159846;[1]
LGBMRegressor;520;0.019140167226886898;0.47839030229250523;[1,5]
LGBMRegressor;780;0.01791187614041263;0.49319373568767283;[1,5]
LGBMRegressor;260;0.018766122172245183;0.4862083210849496;[1,5]
LGBMRegressor;260;0.01854078783346466;0.4878407276317915;[1,5,10]
LGBMRegressor;520;0.017180120568726195;0.4766396512983658;[1,5,10]
LGBMRegressor;780;0.01769016595752699;0.47778536597952675;[1,5,10]
XGBRegressor;780;0.01828833994597878;0.47926823309637373;[1]
XGBRegressor;260;0.017431235249446352;0.49842501417137586;[1]
XGBRegressor;520;0.017903877300911013;0.4912913674012595;[1]
XGBRegressor;520;0.01714783777220691;0.48507923299685524;[1,5]
XGBRegressor;260;0.018601437340784944;0.4821153179617317;[1,5]
XGBRegressor;780;0.017612688943756397;0.4952876899626411;[1,5]