Model;LookBackWindowSize;LearningRate;RMSE;PredictiveScore
XGBRegressor;260;0.01;0.018161101450526646;0.4264162238343115
XGBRegressor;260;0.05;0.01855482730526419;0.45697714774077575
XGBRegressor;260;0.1;0.017846261832225832;0.48573680204600495
XGBRegressor;260;1.0;0.017974997443416664;0.4691841655039777
XGBRegressor;260;0.5;0.01962030395358174;0.4757264485674064
XGBRegressor;260;0.4;0.01831004287267671;0.48966961033069917
XGBRegressor;260;0.2;0.017604599771931788;0.47535309897679495
XGBRegressor;260;0.25;0.018933182364005405;0.46032914426731075
XGBRegressor;260;0.15;0.01985051047479486;0.49165973378266237
XGBRegressor;260;0.3;0.01816747217734387;0.4898230698822117
LGBMRegressor;260;0.05;0.017956779525294574;0.4700768049561493
LGBMRegressor;260;0.2;0.016446900726250106;0.49104735891068474
LGBMRegressor;260;0.01;0.02061866718632767;0.4842270337898823
LGBMRegressor;260;0.1;0.020026501848496726;0.48774880766700734
LGBMRegressor;260;0.3;0.020911546635520546;0.4811120865814136
LGBMRegressor;260;0.4;0.021845592091855343;0.49566215450120543
LGBMRegressor;260;1.0;0.019331403464945395;0.4640899571014796
LGBMRegressor;260;0.5;0.01842197103987489;0.48491115832335036
LGBMRegressor;260;0.25;0.019245424427958843;0.49782290592320405
LGBMRegressor;260;0.15;0.018887736878223576;0.4876391117512692