Model;LookBackWindowSize;MAE;F1-Score;DailySeasonality;WeeklySeasonality;YearlySeasonality
prophet;10;0.014134138141389292;0.3340286347639289;true;auto;auto
prophet;1300;0.013999026287503446;0.46308020699024155;true;auto;auto
prophet;780;0.013533279425270847;0.4649399591181597;true;auto;auto
prophet;20;0.048272688842948504;0.5173084595143419;true;auto;auto
prophet;65;0.0476451001717761;0.5236800127976597;true;auto;auto
prophet;260;0.013335225250405034;0.562434944428889;true;auto;auto
prophet;520;0.012858131279009966;0.5835209555110301;true;auto;auto
prophet;10;0.013283007670170034;0.33626425957740835;false;auto;auto
prophet;1300;0.013795256386777938;0.4527897904671261;false;auto;auto
prophet;780;0.013062043119730351;0.4756425317281718;false;auto;auto
prophet;20;0.2631769512051329;0.5238267614738203;false;auto;auto
prophet;65;0.26477780252222155;0.5285578147342853;false;auto;auto
prophet;260;0.012349460802876739;0.5624642970447468;false;auto;auto
prophet;520;0.012440158247092532;0.582427348698975;false;auto;auto
prophet;780;0.012289538867081236;0.46105730198290756;auto;true;auto
prophet;1300;0.01271634684307657;0.5054808465275593;auto;true;auto
prophet;65;0.26547281812577544;0.5421676689323748;auto;true;auto
prophet;10;0.26466790552308994;0.5518491639079874;auto;true;auto
prophet;20;0.2636772692071081;0.5535367247131953;auto;true;auto
prophet;520;0.01236940147614015;0.576866190326398;auto;true;auto
prophet;260;0.01313315709371361;0.5791425260629414;auto;true;auto
prophet;20;0.013578798524292104;0.31985485679257303;auto;false;auto
prophet;65;0.012167222463945727;0.33505539059172273;auto;false;auto
prophet;10;0.012973691193282618;0.34665407641186186;auto;false;auto
prophet;520;0.01349647272918468;0.3622659372841489;auto;false;auto
prophet;260;0.011704510813483825;0.3655474667585394;auto;false;auto
prophet;780;0.013055358835585229;0.40379272748740974;auto;false;auto
prophet;1300;0.013684643043303654;0.42140017710086913;auto;false;auto
prophet;10;1.2227796389363899;0.32056930382189897;auto;auto;true
prophet;65;0.2542566430096449;0.39325653201085725;auto;auto;true
prophet;20;0.7952102476770952;0.4444912277265219;auto;auto;true
prophet;780;0.013159025473973983;0.4618491754304903;auto;auto;true
prophet;520;0.014582605033145292;0.46420264952271867;auto;auto;true
prophet;1300;0.01298036395616607;0.4644660443362866;auto;auto;true
prophet;260;0.013657661124701318;0.5005846875761281;auto;auto;true
prophet;10;0.014518225227195933;0.30000929481898336;auto;auto;false
prophet;65;0.26511229109164236;0.5003531762355292;auto;auto;false
prophet;20;0.26344721163961604;0.5262740527446409;auto;auto;false
prophet;520;0.012362207757373171;0.5481368631368632;auto;auto;false
prophet;260;0.01225189945726059;0.5636731261817767;auto;auto;false
prophet;780;0.013083429706281744;0.5742582263949045;auto;auto;false
prophet;1300;0.013432679264069523;0.5936096285490748;auto;auto;false